,Decoy,Item,Option_1,Option_2,Option_3,Choice,CatchTrials,Deliberation_RT,Choice_RT,Too_Slow,Survey_ID,CouplingCondition,PhantomCondition
57,P,Dehumidifier,P_B,B,A,B,,10000,381,0,40781,High coupling,Highly_desirable
58,F,Alarm clock,A,B,C,C,,10000,4136,0,40781,High coupling,Highly_desirable
59,S,Security camera,S_A,A,B,A,,10000,442,0,40781,High coupling,Highly_desirable
60,F,Outdoor TV antenna,B,A,C,C,,10000,473,0,40781,High coupling,Highly_desirable
61,S,Metal detector,B,S_B,A,S_B,,10000,527,0,40781,High coupling,Highly_desirable
62,C,Baby crib,A,B,C_B,C_B,,10000,586,0,40781,High coupling,Highly_desirable
63,P,Paint sprayer,P_A,A,B,B,,10000,1135,0,40781,High coupling,Highly_desirable
64,A,Walker with seat,A,A_A,B,A,,10000,566,0,40781,High coupling,Highly_desirable
65,P,Countertop blender,B,A,P_A,B,,10000,297.0,0,40781,High coupling,Highly_desirable
66,C,Insect repellent,C_A,A,B,A,,10000,326,0,40781,High coupling,Highly_desirable
67,S,Night light,B,A,S_A,S_A,,10000,641,0,40781,High coupling,Highly_desirable
68,F,Megaphone,B,C,A,C,,10000,353,0,40781,High coupling,Highly_desirable
69,A,Leaf Blower,A_A,B,A,A,,10000,418,0,40781,High coupling,Highly_desirable
70,C,Water heater,A,B,C_B,B,,10000,365,0,40781,High coupling,Highly_desirable
71,A,Smart bulb,A_B,A,B,B,,10000,1275,0,40781,High coupling,Highly_desirable
72,F,Thermometer gun,C,B,A,C,,10000,368,0,40781,High coupling,Highly_desirable
73,P,Baby stroller,A,B,P_A,A,,10000,346,0,40781,High coupling,Highly_desirable
74,S,Vacuum,B,A,S_B,B,,10000,354,0,40781,High coupling,Highly_desirable
75,P,Outdoor solar lights,A,P_A,B,B,,10000,883,0,40781,High coupling,Highly_desirable
76,A,Rash cream,A,B,A_B,B,,10000,730,0,40781,High coupling,Highly_desirable
77,C,Car vacuum,C_B,A,B,B,,10000,578,0,40781,High coupling,Highly_desirable
78,S,Baby high chair,A,B,S_A,B,,10000,664,0,40781,High coupling,Highly_desirable
79,F,Wagon cart,C,A,B,C,,10000,382,0,40781,High coupling,Highly_desirable
80,F,LED strip lights,B,C,A,C,,10000,427,0,40781,High coupling,Highly_desirable
81,S,Headlight bulbs,B,S_A,A,A,,10000,306,0,40781,High coupling,Highly_desirable
82,P,Wifi extender,B,P_A,A,A,,10000,390,0,40781,High coupling,Highly_desirable
83,A,Slow cooker,B,A,A_B,B,,10000,408.0,0,40781,High coupling,Highly_desirable
84,C,Puree machine,B,A,C_A,A,,10000,640,0,40781,High coupling,Highly_desirable
85,F,Hearing aid,C,B,A,C,,10000,393,0,40781,High coupling,Highly_desirable
86,A,Car seat,B,A,A_B,A,,10000,811,0,40781,High coupling,Highly_desirable
87,P,Organic fertilizer,P_B,B,A,B,,10000,422,0,40781,High coupling,Highly_desirable
88,S,Pressure washer,S_B,A,B,B,,10000,412,0,40781,High coupling,Highly_desirable
89,C,Smart lock,A,B,C_A,A,,10000,371,0,40781,High coupling,Highly_desirable
90,P,Air purifier,A,P_B,B,B,,10000,457.0,0,40781,High coupling,Highly_desirable
91,F,Baby rocker,C,A,B,C,,10000,741,0,40781,High coupling,Highly_desirable
92,S,Air mattress,B,S_A,A,A,,10000,365,0,40781,High coupling,Highly_desirable
93,C,Mobility scooter,B,C_B,A,B,,10000,1200,0,40781,High coupling,Highly_desirable
94,A,Cloth diapers,B,A_A,A,B,,10000,385,0,40781,High coupling,Highly_desirable
95,F,Kitchen Scale,A,B,C,C,,10000,352.0,0,40781,High coupling,Highly_desirable
96,P,Electric mop,A,P_A,B,A,,10000,442,0,40781,High coupling,Highly_desirable
97,A,UV lamp,A_A,B,A,A,,10000,330.0,0,40781,High coupling,Highly_desirable
98,C,Lawn mower,B,C_A,A,C_A,,10000,587,0,40781,High coupling,Highly_desirable
99,S,Air Fryer Oven,S_B,A,B,S_B,,10000,521,0,40781,High coupling,Highly_desirable
100,F,Stun gun,B,C,A,C,,10000,700.5,0,40447,Low coupling,Highly_desirable
101,P,Solar panel system,A,P_A,B,B,,10000,10642.5,1,40447,Low coupling,Highly_desirable
102,A,UV lamp,A,B,A_B,A_B,,10000,658.199999988,0,40447,Low coupling,Highly_desirable
103,S,Odor neutralizer,A,S_A,B,A,,10000,504.800000012,0,40447,Low coupling,Highly_desirable
104,C,Mobility scooter,C_A,B,A,A,,10000,1639.69999999,0,40447,Low coupling,Highly_desirable
105,F,Automatic pet feeder,C,B,A,C,,10000,578.699999988,0,40447,Low coupling,Highly_desirable
106,A,Rash cream,A,A_B,B,B,,10000,429.599999994,0,40447,Low coupling,Highly_desirable
107,S,Metal detector,S_B,A,B,B,,10000,537.599999994,0,40447,Low coupling,Highly_desirable
108,P,Paint sprayer,P_B,B,A,B,,10000,682.199999988,0,40447,Low coupling,Highly_desirable
109,C,Lawn mower,A,C_B,B,A,,10000,461.200000018,0,40447,Low coupling,Highly_desirable
110,P,Wifi extender,P_A,B,A,A,,10000,368.699999988,0,40447,Low coupling,Highly_desirable
111,C,Puree machine,B,C_A,A,A,,10000,362.199999988,0,40447,Low coupling,Highly_desirable
112,A,Cloth diapers,A,B,A_A,A,,10000,1578.70000002,0,40447,Low coupling,Highly_desirable
113,S,Security camera,A,B,S_A,B,,10000,1377.5,0,40447,Low coupling,Highly_desirable
114,F,Kitchen Scale,C,B,A,C,,10000,393.800000012,0,40447,Low coupling,Highly_desirable
115,F,Outdoor TV antenna,A,B,C,C,,10000,596,0,40447,Low coupling,Highly_desirable
116,A,Smart bulb,A,B,A_B,B,,10000,1370.20000002,0,40447,Low coupling,Highly_desirable
117,C,Water heater,C_B,A,B,A,,10000,3872.80000001,0,40447,Low coupling,Highly_desirable
118,S,Vacuum,B,A,S_A,B,,10000,411.599999994,0,40447,Low coupling,Highly_desirable
119,P,Outdoor solar lights,P_A,B,A,B,,10000,455.5,0,40447,Low coupling,Highly_desirable
120,C,Smart lock,A,C_A,B,B,,10000,2163.60000002,0,40447,Low coupling,Highly_desirable
121,S,Headlight bulbs,S_A,A,B,B,,10000,2228.69999999,0,40447,Low coupling,Highly_desirable
122,P,Baby stroller,P_B,A,B,B,,10000,1032.30000001,0,40447,Low coupling,Highly_desirable
123,F,Wagon cart,C,B,A,C,,10000,1595.59999999,0,40447,Low coupling,Highly_desirable
124,A,Walker with seat,B,A,A_B,B,,10000,1664.09999999,0,40447,Low coupling,Highly_desirable
125,P,Countertop blender,B,A,P_B,A,,10000,428,0,40447,Low coupling,Highly_desirable
126,F,Baby rocker,C,B,A,B,,10000,1940.30000001,0,40447,Low coupling,Highly_desirable
127,S,Night light,S_A,A,B,B,,10000,1223.09999999,0,40447,Low coupling,Highly_desirable
128,C,White noise machine,A,C_A,B,B,,10000,519.5,0,40447,Low coupling,Highly_desirable
129,A,Slow cooker,A,A_A,B,B,,10000,1946.09999999,0,40447,Low coupling,Highly_desirable
130,S,Baby high chair,A,B,S_B,S_B,,10000,454.900000006,0,40447,Low coupling,Highly_desirable
131,F,Alarm clock,A,B,C,C,,10000,1323.90000001,0,40447,Low coupling,Highly_desirable
132,P,Electric mop,B,P_B,A,A,,10000,2917.59999999,0,40447,Low coupling,Highly_desirable
133,A,Clothes Steamer,A,A_A,B,B,,10000,949.899999976,0,40447,Low coupling,Highly_desirable
134,C,Car vacuum,A,C_B,B,A,,10000,820.600000024,0,40447,Low coupling,Highly_desirable
135,C,Insect repellent,C_A,A,B,A,,10000,348.800000012,0,40447,Low coupling,Highly_desirable
136,A,Car seat,A_B,A,B,A,,10000,387.799999982,0,40447,Low coupling,Highly_desirable
137,S,Pressure washer,A,B,S_B,S_B,,10000,2478.40000001,0,40447,Low coupling,Highly_desirable
138,P,Organic fertilizer,P_B,A,B,A,,10000,1277.5,0,40447,Low coupling,Highly_desirable
139,F,Megaphone,C,B,A,C,,10000,307.099999994,0,40447,Low coupling,Highly_desirable
140,P,Air purifier,A,B,P_B,B,,10000,330.400000006,0,40447,Low coupling,Highly_desirable
141,S,Air mattress,A,S_A,B,A,,10000,3022,0,40447,Low coupling,Highly_desirable
142,A,Leaf Blower,A_B,A,B,A_B,,10000,547.300000012,0,40447,Low coupling,Highly_desirable
143,C,Pesticide,B,C_A,A,A,,10000,1176.59999999,0,40447,Low coupling,Highly_desirable
144,F,LED strip lights,A,C,B,C,,10000,1157.59999999,0,40447,Low coupling,Highly_desirable
145,F,Electric kettle,A,C,B,C,,10000,797.699999988,0,40447,Low coupling,Highly_desirable
146,A,Tire inflator,B,A,A_A,A,,10000,689.400000006,0,40447,Low coupling,Highly_desirable
147,C,Baby crib,A,B,C_A,B,,10000,1811.59999999,0,40447,Low coupling,Highly_desirable
148,P,Dehumidifier,B,P_A,A,A,,10000,2343.40000001,0,40447,Low coupling,Highly_desirable
149,S,Air Fryer Oven,A,S_B,B,B,,10000,4808.79999998,0,40447,Low coupling,Highly_desirable
150,F,Cordless home phone,B,A,C,C,,10000,2421.59999999,0,40447,Low coupling,Highly_desirable
151,P,Baby stroller,P_A,B,A,B,,10000,325,0,40447,Low coupling,Highly_desirable
152,S,Security camera,B,S_B,A,S_B,,10000,414.599999994,0,40447,Low coupling,Highly_desirable
153,C,Puree machine,A,C_B,B,B,,10000,373.400000006,0,40447,Low coupling,Highly_desirable
154,A,Walker with seat,B,A_A,A,B,,10000,1955.5,0,40447,Low coupling,Highly_desirable
155,F,Alarm clock,C,B,A,C,,10000,1192.69999999,0,40447,Low coupling,Highly_desirable
156,C,Pesticide,A,B,C_B,A,,10000,534.199999988,0,40447,Low coupling,Highly_desirable
157,A,Tire inflator,A,A_B,B,B,,10000,2340.30000001,0,40447,Low coupling,Highly_desirable
158,S,Odor neutralizer,A,S_B,B,B,,10000,1641.40000001,0,40447,Low coupling,Highly_desirable
159,P,Paint sprayer,P_A,B,A,A,,10000,396.700000018,0,40447,Low coupling,Highly_desirable
160,P,Wifi extender,B,A,P_B,A,,10000,1516.29999998,0,40447,Low coupling,Highly_desirable
161,C,Car vacuum,B,C_A,A,A,,10000,795,0,40447,Low coupling,Highly_desirable
162,F,Baby rocker,C,B,A,C,,10000,1051.59999999,0,40447,Low coupling,Highly_desirable
163,S,Baby high chair,S_A,B,A,B,,10000,471.200000018,0,40447,Low coupling,Highly_desirable
164,A,UV lamp,B,A_A,A,B,,10000,631.099999994,0,40447,Low coupling,Highly_desirable
165,C,Insect repellent,C_B,A,B,A,,10000,424.300000012,0,40447,Low coupling,Highly_desirable
166,S,Night light,S_B,A,B,A,,10000,1755.19999999,0,40447,Low coupling,Highly_desirable
167,P,Organic fertilizer,P_A,A,B,A,,10000,387.299999982,0,40447,Low coupling,Highly_desirable
168,F,Electric kettle,C,B,A,C,,10000,340.200000018,0,40447,Low coupling,Highly_desirable
169,A,Cloth diapers,A,B,A_B,B,,10000,2088,0,40447,Low coupling,Highly_desirable
170,P,Dehumidifier,A,P_B,B,A,,10000,302.899999976,0,40447,Low coupling,Highly_desirable
171,S,Air Fryer Oven,S_A,B,A,S_A,,10000,853.299999982,0,40447,Low coupling,Highly_desirable
172,A,Rash cream,B,A_A,A,B,,10000,1297.80000001,0,40447,Low coupling,Highly_desirable
173,C,Water heater,C_A,A,B,A,,10000,3003,0,40447,Low coupling,Highly_desirable
174,F,Megaphone,B,A,C,C,,10000,464,0,40447,Low coupling,Highly_desirable
175,P,Countertop blender,P_A,B,A,A,,10000,387.699999988,0,40447,Low coupling,Highly_desirable
176,A,Clothes Steamer,A_B,B,A,A,,10000,4922.5,0,40447,Low coupling,Highly_desirable
177,F,Outdoor TV antenna,B,C,A,C,,10000,581,0,40447,Low coupling,Highly_desirable
178,C,White noise machine,C_B,B,A,C_B,,10000,413.5,0,40447,Low coupling,Highly_desirable
179,S,Metal detector,S_A,B,A,B,,10000,1901.90000001,0,40447,Low coupling,Highly_desirable
180,F,Wagon cart,C,B,A,C,,10000,1537.19999999,0,40447,Low coupling,Highly_desirable
181,C,Mobility scooter,C_B,B,A,C_B,,10000,1753.09999999,0,40447,Low coupling,Highly_desirable
182,P,Electric mop,P_A,A,B,A,,10000,1910,0,40447,Low coupling,Highly_desirable
183,A,Smart bulb,B,A,A_A,B,,10000,461.199999988,0,40447,Low coupling,Highly_desirable
184,S,Headlight bulbs,S_B,B,A,B,,10000,2150.5,0,40447,Low coupling,Highly_desirable
185,P,Outdoor solar lights,B,P_B,A,B,,10000,455.099999994,0,40447,Low coupling,Highly_desirable
186,F,Protein powder,B,A,C,A,,10000,1768.69999999,0,40447,Low coupling,Highly_desirable
187,A,Leaf Blower,A,B,A_A,A,,10000,2434.5,0,40447,Low coupling,Highly_desirable
188,C,Baby crib,B,C_B,A,B,,10000,564.800000012,0,40447,Low coupling,Highly_desirable
189,S,Pressure washer,S_A,A,B,A,,10000,2554.40000001,0,40447,Low coupling,Highly_desirable
190,C,Smart lock,B,C_B,A,C_B,,10000,2825.70000002,0,40447,Low coupling,Highly_desirable
191,A,Car seat,A,B,A_A,A,,10000,2485.09999999,0,40447,Low coupling,Highly_desirable
192,F,Automatic pet feeder,A,C,B,C,,10000,936.800000012,0,40447,Low coupling,Highly_desirable
193,S,Vacuum,B,A,S_B,S_B,,10000,471.800000012,0,40447,Low coupling,Highly_desirable
194,P,Air purifier,P_A,A,B,A,,10000,1077.5,0,40447,Low coupling,Highly_desirable
195,F,Kitchen Scale,B,C,A,A,,10000,2182.89999998,0,40447,Low coupling,Highly_desirable
196,C,Lawn mower,C_A,B,A,B,,10000,2957.5,0,40447,Low coupling,Highly_desirable
197,P,Solar panel system,B,P_B,A,B,,10000,377,0,40447,Low coupling,Highly_desirable
198,A,Slow cooker,A_B,A,B,B,,10000,429.800000012,0,40447,Low coupling,Highly_desirable
199,S,Air mattress,A,B,S_B,S_B,,10000,1652.09999999,0,40447,Low coupling,Highly_desirable
200,P,Air purifier,P_B,A,B,A,,10000,1267.1,0,41454,Low coupling,Undesirable
201,C,Puree machine,A,B,C_B,C_B,,10000,812.9,0,41454,Low coupling,Undesirable
202,A,Car seat,A_B,A,B,B,,10000,415.9,0,41454,Low coupling,Undesirable
203,S,Air Fryer Oven,B,A,S_A,A,,10000,330.6,0,41454,Low coupling,Undesirable
204,F,Wagon cart,B,C,A,C,,10000,659.6,0,41454,Low coupling,Undesirable
205,F,Megaphone,A,B,C,C,,10000,776.200000001,0,41454,Low coupling,Undesirable
206,S,Night light,S_B,A,B,B,,10000,1789.8,0,41454,Low coupling,Undesirable
207,C,Mobility scooter,A,C_A,B,A,,10000,360.9,0,41454,Low coupling,Undesirable
208,P,Countertop blender,B,P_B,A,A,,10000,349.9,0,41454,Low coupling,Undesirable
209,A,Clothes Steamer,A,A_B,B,B,,10000,642.800000001,0,41454,Low coupling,Undesirable
210,A,Walker with seat,B,A_B,A,B,,10000,524.4,0,41454,Low coupling,Undesirable
211,P,Outdoor solar lights,P_B,B,A,A,,10000,331.9,0,41454,Low coupling,Undesirable
212,C,Lawn mower,C_B,A,B,C_B,,10000,579.4,0,41454,Low coupling,Undesirable
213,S,Security camera,B,S_B,A,S_B,,10000,561.799999999,0,41454,Low coupling,Undesirable
214,F,Garbage disposal,B,C,A,C,,10000,357.799999999,0,41454,Low coupling,Undesirable
215,C,Car vacuum,B,C_B,A,B,,10000,1518.9,0,41454,Low coupling,Undesirable
216,S,Metal detector,S_A,B,A,S_A,,10000,13650.8,1,41454,Low coupling,Undesirable
217,P,Baby stroller,B,P_A,A,A,,10000,111.699999999,0,41454,Low coupling,Undesirable
218,A,Leaf Blower,B,A,A_B,A,,10000,856.1,0,41454,Low coupling,Undesirable
219,F,Thermometer gun,B,C,A,A,,10000,688,0,41454,Low coupling,Undesirable
220,A,Smart bulb,A_A,A,B,B,,10000,1451.6,0,41454,Low coupling,Undesirable
221,F,Pepper spray,C,B,A,C,,10000,522.699999999,0,41454,Low coupling,Undesirable
222,S,Air mattress,B,S_A,A,A,,10000,1129.5,0,41454,Low coupling,Undesirable
223,C,Pesticide,B,A,C_B,B,,10000,395.200000001,0,41454,Low coupling,Undesirable
224,P,Solar panel system,A,P_A,B,B,,10000,568.800000001,0,41454,Low coupling,Undesirable
225,S,Odor neutralizer,S_A,A,B,B,,10000,582.9,0,41454,Low coupling,Undesirable
226,A,Tire inflator,A,B,A_B,B,,10000,807.799999999,0,41454,Low coupling,Undesirable
227,P,Wifi extender,P_A,A,B,A,,10000,713.4,0,41454,Low coupling,Undesirable
228,C,Water heater,A,B,C_B,B,,10000,328.5,0,41454,Low coupling,Undesirable
229,F,Protein powder,C,A,B,A,,10000,404.300000001,0,41454,Low coupling,Undesirable
230,P,Electric mop,B,A,P_B,B,,10000,384.100000001,0,41454,Low coupling,Undesirable
231,C,Smart lock,C_B,A,B,C_B,,10000,435.4,0,41454,Low coupling,Undesirable
232,F,Automatic pet feeder,C,A,B,C,,10000,353.9,0,41454,Low coupling,Undesirable
233,A,Rash cream,A_A,B,A,A,,10000,468.600000001,0,41454,Low coupling,Undesirable
234,S,Vacuum,S_B,A,B,A,,10000,1211.4,0,41454,Low coupling,Undesirable
235,F,Inflatable baby pool,A,B,C,C,,10000,490.200000001,0,41454,Low coupling,Undesirable
236,P,Organic fertilizer,A,P_B,B,A,,10000,1581.2,0,41454,Low coupling,Undesirable
237,S,Headlight bulbs,B,S_B,A,B,,10000,918.5,0,41454,Low coupling,Undesirable
238,A,Slow cooker,A,A_B,B,B,,10000,299.4,0,41454,Low coupling,Undesirable
239,C,White noise machine,C_A,A,B,B,,10000,1171.7,0,41454,Low coupling,Undesirable
240,C,Baby crib,B,C_B,A,B,,10000,1008.1,0,41454,Low coupling,Undesirable
241,A,Cloth diapers,B,A,A_B,B,,10000,1523.4,0,41454,Low coupling,Undesirable
242,P,Paint sprayer,B,P_B,A,A,,10000,331.9,0,41454,Low coupling,Undesirable
243,S,Pressure washer,A,S_A,B,B,,10000,1596.7,0,41454,Low coupling,Undesirable
244,F,Kitchen Scale,A,B,C,C,,10000,427.799999999,0,41454,Low coupling,Undesirable
245,P,Dehumidifier,B,P_B,A,B,,10000,429.5,0,41454,Low coupling,Undesirable
246,C,Insect repellent,B,C_A,A,B,,10000,1049.6,0,41454,Low coupling,Undesirable
247,F,Alarm clock,A,B,C,A,,10000,460.399999999,0,41454,Low coupling,Undesirable
248,A,UV lamp,B,A,A_B,A,,10000,1125.6,0,41454,Low coupling,Undesirable
249,S,Baby high chair,A,S_A,B,B,,10000,464.300000001,0,41454,Low coupling,Undesirable
250,F,Pepper spray,A,C,B,C,,10000,386,0,41454,Low coupling,Undesirable
251,P,Outdoor solar lights,B,P_A,A,A,,10000,358.1,0,41454,Low coupling,Undesirable
252,C,Smart lock,A,C_A,B,B,,10000,576,0,41454,Low coupling,Undesirable
253,S,Air mattress,S_B,A,B,B,,10000,511.9,0,41454,Low coupling,Undesirable
254,A,Clothes Steamer,B,A,A_A,A,,10000,866.1,0,41454,Low coupling,Undesirable
255,P,Countertop blender,B,A,P_A,A,,10000,548.5,0,41454,Low coupling,Undesirable
256,S,Security camera,B,S_A,A,S_A,,10000,573.5,0,41454,Low coupling,Undesirable
257,F,Alarm clock,C,A,B,A,,10000,366.4,0,41454,Low coupling,Undesirable
258,C,Lawn mower,A,C_A,B,B,,10000,1086.1,0,41454,Low coupling,Undesirable
259,A,UV lamp,B,A,A_A,B,,10000,469.299999999,0,41454,Low coupling,Undesirable
260,A,Cloth diapers,A,B,A_A,B,,10000,436.699999999,0,41454,Low coupling,Undesirable
261,F,Rechargeable AA batteries,A,C,B,C,,10000,1982.9,0,41454,Low coupling,Undesirable
262,P,Electric mop,P_A,A,B,A,,10000,1061.8,0,41454,Low coupling,Undesirable
263,S,Odor neutralizer,S_B,A,B,B,,10000,3010.5,0,41454,Low coupling,Undesirable
264,C,Pesticide,C_A,A,B,A,,10000,706.699999999,0,41454,Low coupling,Undesirable
265,F,Inflatable baby pool,B,C,A,C,,10000,343.199999999,0,41454,Low coupling,Undesirable
266,S,Night light,A,B,S_A,A,,10000,679.300000001,0,41454,Low coupling,Undesirable
267,P,Organic fertilizer,B,P_A,A,B,,10000,1316.5,0,41454,Low coupling,Undesirable
268,C,Puree machine,C_A,A,B,A,,10000,675.5,0,41454,Low coupling,Undesirable
269,A,Walker with seat,B,A_A,A,A,,10000,357.799999999,0,41454,Low coupling,Undesirable
270,S,Metal detector,B,A,S_B,S_B,,10000,1009.6,0,41454,Low coupling,Undesirable
271,F,Wagon cart,B,A,C,C,,10000,624.5,0,41454,Low coupling,Undesirable
272,P,Wifi extender,B,P_B,A,A,,10000,379.699999999,0,41454,Low coupling,Undesirable
273,C,Insect repellent,C_B,A,B,A,,10000,326.300000001,0,41454,Low coupling,Undesirable
274,A,Leaf Blower,A_A,B,A,A,,10000,953.5,0,41454,Low coupling,Undesirable
275,A,Smart bulb,A_B,B,A,B,,10000,1049.5,0,41454,Low coupling,Undesirable
276,S,Air Fryer Oven,S_B,B,A,S_B,,10000,1037.8,0,41454,Low coupling,Undesirable
277,P,Air purifier,A,P_A,B,B,,10000,4783.6,0,41454,Low coupling,Undesirable
278,F,Thermometer gun,C,A,B,C,,10000,1201.2,0,41454,Low coupling,Undesirable
279,C,White noise machine,B,A,C_B,C_B,,10000,1598,0,41454,Low coupling,Undesirable
280,A,Car seat,B,A_A,A,A,,10000,317.4,0,41454,Low coupling,Undesirable
281,C,Car vacuum,A,C_A,B,A,,10000,418.300000001,0,41454,Low coupling,Undesirable
282,P,Solar panel system,A,B,P_B,B,,10000,3165.2,0,41454,Low coupling,Undesirable
283,F,Megaphone,B,C,A,C,,10000,456.800000001,0,41454,Low coupling,Undesirable
284,S,Headlight bulbs,B,A,S_A,A,,10000,444.9,0,41454,Low coupling,Undesirable
285,P,Paint sprayer,B,A,P_A,A,,10000,332.200000001,0,41454,Low coupling,Undesirable
286,F,Baby rocker,C,A,B,C,,10000,392.4,0,41454,Low coupling,Undesirable
287,S,Vacuum,B,S_A,A,A,,10000,749,0,41454,Low coupling,Undesirable
288,A,Tire inflator,A_A,A,B,B,,10000,408.5,0,41454,Low coupling,Undesirable
289,C,Baby crib,B,C_A,A,A,,10000,306,0,41454,Low coupling,Undesirable
290,S,Pressure washer,B,A,S_B,B,,10000,688.1,0,41454,Low coupling,Undesirable
291,A,Rash cream,B,A_B,A,B,,10000,378.300000001,0,41454,Low coupling,Undesirable
